Molecule List Name,Precursor Name,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Explicit Retention Time,Explicit Retention Time Window,Note
CE,CE(14:0),614.6,1,369.4,1,11.54,0.5,SIL_CE(16:0)_d7_Lipidyzer
CE,CE(16:0),642.6,1,369.4,1,12.28,0.5,SIL_CE(16:0)_d7_Lipidyzer
CE,CE(16:1),640.6,1,369.4,1,11.56,0.5,SIL_CE(16:1)_d7_Lipidyzer
CE,CE(18:0),670.6,1,369.4,1,12.84,0.5,SIL_CE(18:1)_d7_Lipidyzer
CE,CE(18:1),668.6,1,369.4,1,12.27,0.5,SIL_CE(18:1)_d7_Lipidyzer
CE,CE(18:2),666.6,1,369.4,1,11.7,0.5,SIL_CE(18:2)_d7_Lipidyzer
CE,CE(18:3),664.6,1,369.4,1,11.25,0.5,SIL_CE(18:2)_d7_Lipidyzer
CE,CE(20:0),698.7,1,369.4,1,13.05,0.5,SIL_CE(20:3)_d7_Lipidyzer
CE,CE(20:1),696.7,1,369.4,1,12.83,0.5,SIL_CE(20:3)_d7_Lipidyzer
CE,CE(20:2),694.6,1,369.4,1,12.34,0.5,SIL_CE(20:3)_d7_Lipidyzer
CE,CE(20:3),692.6,1,369.4,1,11.8,0.5,SIL_CE(20:3)_d7_Lipidyzer
CE,CE(20:4),690.6,1,369.4,1,11.44,0.5,SIL_CE(20:4)_d7_Lipidyzer
CE,CE(20:5),688.6,1,369.4,1,11.02,0.5,SIL_CE(20:5)_d7_Lipidyzer
CE,CE(22:0),726.7,1,369.4,1,13.97,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(22:1),724.7,1,369.4,1,13.27,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(22:2),722.7,1,369.4,1,12.83,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(22:4),718.6,1,369.4,1,11.87,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(22:5),716.6,1,369.4,1,11.47,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(22:6),714.6,1,369.4,1,11.22,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(24:0),754.7,1,369.4,1,14.63,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,CE(24:1),752.7,1,369.4,1,13.97,0.5,SIL_CE(22:6)_d7_Lipidyzer
CE,SIL_CE(16:0)_d7_Lipidyzer,649.6,1,376.5,1,12.2,0.5,NA
CE,SIL_CE(16:1)_d7_Lipidyzer,647.6,1,376.5,1,11.56,0.5,NA
CE,SIL_CE(18:1)_d7_Lipidyzer,675.6,1,376.5,1,12.18,0.5,NA
CE,SIL_CE(18:2)_d7_Lipidyzer,673.6,1,376.5,1,11.66,0.5,NA
CE,SIL_CE(20:3)_d7_Lipidyzer,699.6,1,376.5,1,11.75,0.5,NA
CE,SIL_CE(20:4)_d7_Lipidyzer,697.6,1,376.5,1,11.39,0.5,NA
CE,SIL_CE(20:5)_d7_Lipidyzer,695.6,1,376.5,1,11.01,0.5,NA
CE,SIL_CE(22:6)_d7_Lipidyzer,721.6,1,376.5,1,11.17,0.5,NA
CER,CER(14:0),510.6,1,264.4,1,6.64,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(16:0),538.6,1,264.4,1,7.8,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(18:0),566.7,1,264.4,1,9.12,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(18:1),564.8,1,264.4,1,8.04,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(20:0),594.6,1,264.4,1,9.46,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(20:1),592.6,1,264.4,1,9.25,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(22:0),622.7,1,264.4,1,9.72,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(22:1),620.7,1,264.4,1,9.46,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(24:0),650.8,1,264.4,1,10.02,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(24:1),648.8,1,264.4,1,9.71,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(26:0),678.9,1,264.4,1,10.33,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,CER(26:1),676.9,1,264.4,1,10,0.5,SIL_CER(16:0)_d_Lipidyzer
CER,SIL_CER(16:0)_d_Lipidyzer,547.6,1,264.4,1,7.77,0.5,NA
DAG,DAG(14:0_14:0),530.4,1,285.2,1,7.44,0.5,SIL_DAG(16:0_16:0)_d9_Lipidyzer
DAG,DAG(14:0_16:1),556.5,1,285.2,1,7.59,0.5,SIL_DAG(16:0_16:0)_d9_Lipidyzer
DAG,DAG(14:0_18:1),584.4,1,285.2,1,8.89,0.5,SIL_DAG(16:0_18:1)_d9_Lipidyzer
DAG,DAG(14:0_18:2),582.4,1,285.2,1,7.86,0.5,SIL_DAG(16:0_18:2)_d9_Lipidyzer
DAG,DAG(14:0_18:3),580.4,1,285.2,1,7.05,0.5,SIL_DAG(16:0_18:3)_d9_Lipidyzer
DAG,DAG(14:0_20:0),614.6,1,285.2,1,9.66,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(14:0_20:4),606.4,1,285.2,1,7.65,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(14:0_22:6),630.5,1,285.3,1,7.37,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(16:0_16:0),586.5,1,313.3,1,9.36,0.5,SIL_DAG(16:0_16:0)_d9_Lipidyzer
DAG,DAG(16:0_16:1),584.4,1,313.2,1,8.93,0.5,SIL_DAG(16:0_16:0)_d9_Lipidyzer
DAG,DAG(16:0_18:0),614.4,1,313.2,1,9.64,0.5,SIL_DAG(16:0_18:0)_d9_Lipidyzer
DAG,DAG(16:0_18:1),612.6,1,313.2,1,9.4,0.5,SIL_DAG(16:0_18:1)_d9_Lipidyzer
DAG,DAG(16:0_18:2),610.4,1,313.2,1,9.14,0.5,SIL_DAG(16:0_18:2)_d9_Lipidyzer
DAG,DAG(16:0_18:3),608.5,1,313.2,1,8.27,0.5,SIL_DAG(16:0_18:3)_d9_Lipidyzer
DAG,DAG(16:0_20:3),636.5,1,313.3,1,9.24,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(16:0_20:4),634.5,1,313.3,1,8.99,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(16:0_20:5),632.4,1,313.3,1,8.09,0.5,SIL_DAG(16:0_20:5)_d9_Lipidyzer
DAG,DAG(16:0_22:5),660.5,1,313.3,1,9.23,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(16:0_22:6),658.5,1,313.3,1,8.63,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(16:1_16:1),582.4,1,311.2,1,7.75,0.5,SIL_DAG(16:0_16:0)_d9_Lipidyzer
DAG,DAG(16:1_18:0),612.6,1,311.3,1,9.41,0.5,SIL_DAG(16:0_18:0)_d9_Lipidyzer
DAG,DAG(16:1_18:1),610.4,1,311.2,1,9.05,0.5,SIL_DAG(16:0_18:1)_d9_Lipidyzer
DAG,DAG(16:1_18:2),608.5,1,311.2,1,8.04,0.5,SIL_DAG(16:0_18:2)_d9_Lipidyzer
DAG,DAG(16:1_18:3),606.4,1,311.2,1,7.35,0.5,SIL_DAG(16:0_18:3)_d9_Lipidyzer
DAG,DAG(16:1_20:0),640.6,1,283.2,1,9.67,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(16:1_20:2),636.6,1,311.3,1,9.17,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(16:1_20:4),632.4,1,311.3,1,7.78,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(16:1_22:6),656.5,1,311.3,1,7.49,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:0_18:1),640.4,1,341.3,1,9.67,0.5,SIL_DAG(16:0_18:1)_d9_Lipidyzer
DAG,DAG(18:0_18:2),638.4,1,341.3,1,9.47,0.5,SIL_DAG(16:0_18:2)_d9_Lipidyzer
DAG,DAG(18:0_18:3),636.5,1,341.3,1,9.27,0.5,SIL_DAG(16:0_18:3)_d9_Lipidyzer
DAG,DAG(18:0_22:6),686.6,1,341.3,1,8.69,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:1_18:1),638.4,1,339.3,1,9.43,0.5,SIL_DAG(16:0_18:1)_d9_Lipidyzer
DAG,DAG(18:1_18:2),636.5,1,339.3,1,9.17,0.5,SIL_DAG(16:0_18:2)_d9_Lipidyzer
DAG,DAG(18:1_20:1),666.6,1,339.3,1,9.67,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(18:1_20:2),664.6,1,339.3,1,9.46,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(18:1_20:3),662.6,1,339.3,1,9.35,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(18:1_20:4),660.5,1,339.3,1,9.1,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(18:1_20:5),658.5,1,339.3,1,8.19,0.5,SIL_DAG(16:0_20:5)_d9_Lipidyzer
DAG,DAG(18:1_22:4),688.6,1,339.3,1,9.36,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:1_22:5),686.6,1,339.3,1,9.27,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:1_22:6),684.6,1,339.3,1,8.74,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:2_18:3),632.4,1,337.3,1,7.47,0.5,SIL_DAG(16:0_18:3)_d9_Lipidyzer
DAG,DAG(18:2_20:3),660.5,1,337.3,1,9.05,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(18:2_20:4),658.5,1,337.3,1,8.06,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,DAG(18:2_20:5),656.5,1,337.3,1,7.27,0.5,SIL_DAG(16:0_20:5)_d9_Lipidyzer
DAG,DAG(18:2_22:4),686.6,1,337.3,1,9.04,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:2_22:5),684.6,1,337.3,1,8.63,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(18:2_22:6),682.5,1,337.3,1,8.28,0.5,SIL_DAG(16:0_22:6)_d9_Lipidyzer
DAG,DAG(20:0_20:0),698.6,1,369.3,1,9.88,0.5,SIL_DAG(16:0_20:4)_d9_Lipidyzer
DAG,SIL_DAG(15:0_18:1)_d7_SPLASH,605.5,1,306.307,1,9.22,0.5,NA
DAG,SIL_DAG(16:0_16:0)_d9_Lipidyzer,595.5,1,322.3,1,9.36,0.5,NA
DAG,SIL_DAG(16:0_18:0)_d9_Lipidyzer,623.4,1,322.2,1,9.63,0.5,NA
DAG,SIL_DAG(16:0_18:1)_d9_Lipidyzer,621.6,1,322.2,1,9.37,0.5,NA
DAG,SIL_DAG(16:0_18:2)_d9_Lipidyzer,619.4,1,322.2,1,9.11,0.5,NA
DAG,SIL_DAG(16:0_18:3)_d9_Lipidyzer,617.5,1,322.2,1,8.23,0.5,NA
DAG,SIL_DAG(16:0_20:4)_d9_Lipidyzer,643.5,1,322.2,1,8.93,0.5,NA
DAG,SIL_DAG(16:0_20:5)_d9_Lipidyzer,641.4,1,322.2,1,8.04,0.5,NA
DAG,SIL_DAG(16:0_22:6)_d9_Lipidyzer,667.5,1,322.2,1,8.59,0.5,NA
DCER,DCER(14:0),512.6,1,266.4,1,7.72,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(16:0),540.6,1,266.4,1,8.25,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(18:0),568.7,1,266.4,1,9.27,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(18:1),566.8,1,266.4,1,8.6,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(20:0),596.7,1,266.4,1,9.54,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(20:1),594.4,1,266.4,1,9.3,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(22:0),624.8,1,266.4,1,9.82,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(22:1),620.4,1,266.4,1,9.82,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(24:0),652.9,1,266.4,1,10.02,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(24:1),650.9,1,266.4,1,9.8,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(26:0),680.5,1,266.4,1,10.32,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,DCER(26:1),678.5,1,266.4,1,10.25,0.5,SIL_DCER(16:0)_d_Lipidyzer
DCER,SIL_DCER(16:0)_d_Lipidyzer,549.6,1,266.4,1,8.18,0.5,SIL_DCER(16:0)_d_Lipidyzer
FFA,FFA(14:0),227.1,-1,227.1,-1,2.51,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(14:1),225.1,-1,225.1,-1,1.93,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(16:0),255.1,-1,255.1,-1,3.34,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(16:1),253.1,-1,253.1,-1,2.72,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(16:2),251.1,-1,251.1,-1,2.22,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(18:0),283.2,-1,283.2,-1,4.02,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(18:1),281.2,-1,281.2,-1,3.51,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(18:2),279.2,-1,279.2,-1,2.96,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(18:3),277.2,-1,277.2,-1,2.47,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(20:0),311.2,-1,311.2,-1,4.61,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(20:1),309.2,-1,309.2,-1,4.08,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(20:2),307.2,-1,307.2,-1,3.66,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(20:3),305.2,-1,305.2,-1,3.23,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(20:4),303.2,-1,303.2,-1,2.84,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(20:5),301.2,-1,301.2,-1,2.37,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(22:4),331.3,-1,331.3,-1,3.48,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(22:5),329.2,-1,329.2,-1,3.03,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(22:6),327.2,-1,327.2,-1,2.66,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(24:0),367.3,-1,367.3,-1,6.28,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,FFA(24:1),365.3,-1,365.3,-1,5.51,0.5,SIL_FFA(17:0)_d9_Lipidyzer
FFA,SIL_FFA(16:0)_d9_Lipidyzer,264.1,-1,264.1,-1,3.31,0.5,NA
FFA,SIL_FFA(17:0)_d9_Lipidyzer,278.22,-1,278.1,-1,2.47,0.5,NA
HCER,HCER(14:0),672.5,1,264.4,1,5.9,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(16:0),700.7,1,264.4,1,6.89,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(18:0),728.8,1,264.4,1,8.11,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(18:1),726.7,1,264.4,1,7.75,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(20:0),756.7,1,264.4,1,9.2,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(20:1),754.7,1,264.4,1,9.09,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(22:0),784.9,1,264.4,1,9.49,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(22:1),782.8,1,264.4,1,9.22,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(24:0),812.9,1,264.4,1,9.75,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(24:1),810.9,1,264.4,1,9.48,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(26:0),840.9,1,264.4,1,10.02,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(26:1),838.9,1,264.4,1,9.71,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_18:0),730.8,1,266.4,1,9.33,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_20:0),758.7,1,266.4,1,9.2,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_22:0),786.9,1,266.4,1,9.49,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_24:0),814.9,1,266.4,1,9.75,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_24:1),812.9,1,266.4,1,9.48,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_26:0),842.9,1,266.4,1,10,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,HCER(d18:0_26:1),840.9,1,266.4,1,9.46,0.5,SIL_HCER(16:0)_d9_Lipidyzer
HCER,SIL_HCER(16:0)_d9_Lipidyzer,709.7,1,264.4,1,6.85,0.5,NA
LCER,LCER(14:0),834.9,1,264.4,1,5.66,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(16:0),862.9,1,264.4,1,6.6,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(18:0),890.2,1,264.4,1,7.72,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(18:1),888.2,1,264.4,1,6.73,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(20:0),918.2,1,264.4,1,8.99,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(20:1),916.2,1,264.4,1,8.1,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(22:0),946.2,1,264.4,1,9.4,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(22:1),944.2,1,264.4,1,8.99,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(24:0),974.8,1,264.4,1,9.63,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(24:1),972.9,1,264.4,1,9.38,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(26:0),1002.4,1,264.4,1,9.88,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(26:1),1000.4,1,264.4,1,9.62,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_18:0),892.7,1,266.4,1,9.19,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_20:0),920.7,1,266.4,1,8.97,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_22:0),948.7,1,266.4,1,9.39,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_24:0),976.8,1,266.4,1,9.64,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_24:1),974.7,1,266.4,1,9.37,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_26:0),1004.9,1,266.4,1,9.89,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,LCER(d18:0_26:1),1002.9,1,266.4,1,9.61,0.5,SIL_LCER(16:0)_d9_Lipidyzer
LCER,SIL_LCER(16:0)_d9_Lipidyzer,871.9,1,264.4,1,6.55,0.5,NA
LPC,LPC(14:0),526.317,-1,227.202,-1,2.16,0.5,SIL_LPC(16:0)_d9_Lipidyzer
LPC,LPC(16:0),554.346,-1,255.233,-1,2.95,0.5,SIL_LPC(16:0)_d9_Lipidyzer
LPC,LPC(16:1),552.331,-1,253.217,-1,2.34,0.5,SIL_LPC(16:0)_d9_Lipidyzer
LPC,LPC(18:0),582.378,-1,283.264,-1,3.64,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(18:1),580.362,-1,281.249,-1,3.06,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(18:2),578.346,-1,279.233,-1,2.58,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(18:3),576.331,-1,277.217,-1,2.12,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:0),610.409,-1,311.3,-1,4.15,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:1),608.393,-1,309.28,-1,3.71,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:2),606.378,-1,307.264,-1,3.24,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:3),604.362,-1,305.249,-1,2.83,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:4),602.346,-1,303.233,-1,2.51,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:5),600.331,-1,301.217,-1,2.09,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(22:4),630.364,-1,331.264,-1,3.06,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(22:5),628.362,-1,329.249,-1,2.67,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(22:6),626.346,-1,327.233,-1,2.43,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,SIL_LPC(16:0)_d9_Lipidyzer,563.2,-1,264.2,-1,2.92,0.5,NA
LPC,SIL_LPC(18:1)_d7_SPLASH,587.409,-1,288.296,-1,3.07,0.5,NA
LPE,LPE(14:0),424.247,-1,227.202,-1,2.24,0.5,SIL_LPE(18:0)_d5_Lipidyzer
