lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
PE(P-16:0_18:3),1.9e-5,0.28,0.8,0.68,0.73,0.19,-0.54,0.004285000000000001
PE(P-18:0_18:3),1.4e-5,0.13,0.43,0.68,0.37,0.08,-0.29,0.004285000000000001
PG(20:0_18:2),1.9e-5,0.12,0.25,0.68,0.39,0.24,-0.15,0.004285000000000001
PE(P-16:0_20:1),2.5e-5,0.33,0.9,0.67,1.3,0.68,-0.62,0.004285000000000001
PE(P-18:2_18:2),2.5e-5,0.23,0.56,0.67,0.43,0.078,-0.35,0.004285000000000001
PE(P-18:1_18:2),4.1e-5,3.2,9.7,0.65,7.9,1.7,-6.2,0.0058561666666666675
PC(18:2_20:2),6.7e-5,0.069,0.18,0.64,0.2,0.084,-0.12,0.007177375000000001
PG(20:0_20:3),6.7e-5,0.0048,0.012,0.64,0.02,0.012,-0.008,0.007177375000000001
PC(20:0_20:1),8.4e-5,0.0012,0.0036,0.63,0.0052,0.0028,-0.0024,0.007998666666666666
PE(P-18:0_18:2),1.3e-4,6.9,22,0.62,18,4.5,-14,0.010547692307692308
PE(O-16:0_18:1),1.6e-4,0.013,0.046,0.61,0.054,0.028,-0.026,0.010547692307692308
PE(O-16:0_18:2),1.6e-4,0.22,0.86,0.61,0.75,0.16,-0.59,0.010547692307692308
PE(P-16:0_18:2),1.6e-4,4.4,12,0.61,12,2.7,-9.3,0.010547692307692308
PE(P-16:0_20:3),2e-4,2.1,5.3,0.61,4.8,1.2,-3.6,0.012242857142857144
HCER(14:0),3.6e-4,0.0019,0.0074,0.59,0.011,0.0042,-0.0068,0.015426000000000002
PC(18:2_18:2),3.6e-4,2,6.9,0.59,5.7,2,-3.7,0.015426000000000002
PC(20:0_18:1),3.6e-4,0.023,0.07,0.59,0.097,0.059,-0.038,0.015426000000000002
PE(O-16:0_20:1),3.6e-4,0.076,0.25,0.59,0.35,0.18,-0.17,0.015426000000000002
PE(P-18:1_20:3),3e-4,0.87,2.6,0.59,2.6,0.73,-1.9,0.015426000000000002
PE(P-18:1_20:5),3e-4,4.2,15,0.59,16,4.1,-12,0.015426000000000002
DCER(24:0),4.4e-4,1.4,3.6,0.58,5.3,3.1,-2.2,0.016394782608695653
PE(P-18:1_18:1),4.4e-4,0.1,0.32,0.58,0.44,0.22,-0.22,0.016394782608695653
PE(P-18:1_20:1),4.4e-4,0.17,0.69,0.58,0.88,0.5,-0.38,0.016394782608695653
PC(18:1_18:2),6.4e-4,1.3,5.3,0.57,8.2,4.8,-3.4,0.021095384615384617
PE(P-18:0_18:1),5.3e-4,0.56,2.3,0.57,3,1.5,-1.5,0.018925416666666667
PE(P-18:0_20:1),6.4e-4,0.17,0.57,0.57,0.89,0.51,-0.38,0.021095384615384617
PC(18:2_20:3),7.6e-4,0.28,0.84,0.56,0.89,0.2,-0.69,0.024122962962962964
CER(24:0),0.0011,2,5.9,0.55,12,7.9,-4.1,0.028566666666666667
PC(20:0_20:3),0.0011,0.055,0.19,0.55,0.23,0.1,-0.13,0.028566666666666667
PE(18:2_16:1),0.0011,0.03,0.11,0.55,0.11,0.038,-0.072,0.028566666666666667
PG(20:0_20:5),9.1e-4,0.0023,0.0098,0.55,0.011,0.0047,-0.0063,0.026892068965517244
PI(18:1_18:1),0.0011,3.1,14,0.55,15,3.7,-11,0.028566666666666667
PI(18:1_20:3),9.1e-4,0.097,0.34,0.55,0.37,0.11,-0.26,0.026892068965517244
PI(18:1_20:2),0.0013,0.043,0.17,0.54,0.15,0.043,-0.11,0.032767647058823526
LPC(18:0),0.0018,2.7,9.1,0.53,17,10,-7,0.03428
LPC(20:0),0.0015,0.02,0.083,0.53,0.1,0.051,-0.049,0.032961538461538466
PC(14:0_18:2),0.0015,0.26,1.2,0.53,1.2,0.39,-0.81,0.032961538461538466
PC(18:0_18:2),0.0018,1.8,7.6,0.53,16,13,-3,0.03428
PC(18:2_20:5),0.0018,0.11,0.56,0.53,0.41,0.18,-0.23,0.03428
PE(P-16:0_20:5),0.0015,3.4,14,0.53,12,3.8,-8.2,0.032961538461538466
PE(P-18:0_20:2),0.0015,0.41,1.9,0.53,1.8,0.77,-1,0.032961538461538466
PE(P-18:0_20:3),0.0018,8.9,28,0.53,28,11,-17,0.03428
PE(P-18:0_20:5),0.0018,3.2,15,0.53,13,6.3,-6.7,0.03428
PI(18:0_20:3),0.0018,2.5,11,0.53,14,6.5,-7.5,0.03428
SM(24:0),0.0015,0.082,0.32,0.53,1.9,1.7,-0.2,0.032961538461538466
LPC(14:0),0.0021,0.033,0.19,0.52,0.3,0.16,-0.14,0.038291489361702125
LPE(18:2),0.0021,0.88,3.9,0.52,4.7,1.8,-2.9,0.038291489361702125
HCER(26:0),0.0024,0.0046,0.022,0.51,0.028,0.014,-0.014,0.04032941176470588
PC(14:0_20:2),0.0024,0.0014,0.0066,0.51,0.0058,0.0019,-0.0039,0.04032941176470588
PC(18:2_18:3),0.0024,0.065,0.44,0.51,0.34,0.15,-0.19,0.04032941176470588
PC(18:2_20:1),0.0024,0.018,0.075,0.51,0.12,0.084,-0.036,0.04032941176470588
