lipid_target,15JAN2021 WA COVID-LTR_1,15JAN2021 WA COVID-LTR_10,15JAN2021 WA COVID-LTR_11,15JAN2021 WA COVID-LTR_12,15JAN2021 WA COVID-LTR_13,15JAN2021 WA COVID-LTR_14,15JAN2021 WA COVID-LTR_15,15JAN2021 WA COVID-LTR_16,15JAN2021 WA COVID-LTR_17,15JAN2021 WA COVID-LTR_18,15JAN2021 WA COVID-LTR_19,15JAN2021 WA COVID-LTR_2,15JAN2021 WA COVID-LTR_20,15JAN2021 WA COVID-LTR_21,15JAN2021 WA COVID-LTR_22,15JAN2021 WA COVID-LTR_23,15JAN2021 WA COVID-LTR_3,15JAN2021 WA COVID-LTR_4,15JAN2021 WA COVID-LTR_5,15JAN2021 WA COVID-LTR_6,15JAN2021 WA COVID-LTR_7,15JAN2021 WA COVID-LTR_8,15JAN2021 WA COVID-LTR_9
CE(14:0),1.595270245,1.808239325,2.153294419,1.364440014,1.328639621,1.483429367,1.523341264,1.646454198,1.794532967,1.770414645,1.612400144,1.507009423,1.409733049,1.843344015,1.339059387,2.005765233,1.232499275,1.51168171,1.739479376,1.10989528,1.364505649,1.94919969,1.948461853
CE(16:0),30.27991213,26.44004746,32.12668577,30.44301894,30.07465089,26.30484384,27.13163893,27.0587191,28.81831417,23.93082266,30.80006901,26.48736796,29.03119459,37.70649201,30.03654155,27.62743743,24.42638667,27.79914659,24.51240812,26.41126808,23.56010075,28.93699141,24.79768688
CE(16:1),6.37158188,5.994968693,7.30907486,6.576783409,6.447367911,5.600763592,6.095337972,5.586103562,5.164283517,7.283232311,7.788059976,6.775090641,5.692029199,5.418592023,6.748014301,8.278046888,6.706978422,8.716175453,6.610290432,6.573288657,5.462870277,5.568461505,6.659682095
CE(18:0),0.577796638,0.594205876,0.638022677,0.564818738,0.543581744,0.677205327,0.709087056,0.706182746,0.564284671,0.746184559,0.64120594,0.59040836,0.532259588,0.548749607,0.775204799,0.575050719,0.493832402,0.547989475,0.67661554,0.497820996,0.65331626,0.758628638,0.592587374
CE(18:1),12.96899447,12.77241452,13.43738174,12.63695192,14.13148843,12.61619024,11.44917252,13.37614232,11.80029194,14.59203301,14.31933205,11.60415792,10.80739505,14.4079844,13.93586448,13.16861393,14.05458269,11.58194219,14.40086519,12.96712205,14.43624922,14.43610119,12.53531121
CE(18:2),7.945738004,9.081879633,9.697427376,8.259866516,8.176286668,9.374981083,7.857011446,9.146466859,8.009620096,10.42412371,8.065590342,8.271892533,8.330225348,8.913928734,7.827015047,7.736439841,9.221054485,8.37172232,7.871370816,9.518825474,8.031649467,8.533661653,9.132438399
CE(18:3),1.488925394,1.829670445,2.175199306,1.910284852,1.857124508,2.280183619,1.577141687,1.808831612,1.658355734,2.296860245,1.826249285,1.450336743,1.671252018,1.679011544,1.503212603,1.780614287,1.90033586,1.714352441,1.784007778,1.634399079,1.599178039,1.961689167,1.838561356
CE(20:0),0.002727702,0.003917244,0.003116449,0.003587443,0.002204201,0.003034987,0.003019334,0.002705968,0.002329957,0.003339146,0.002531731,0.002661335,0.002978864,0.002552696,0.002899433,0.002824845,0.003143852,0.002872095,0.002805595,0.002897885,0.003272782,0.002868778,0.002435491
CE(20:1),0.013408096,0.01333984,0.013374687,0.013309465,0.010216158,0.010328098,0.013870798,0.01150771,0.011393016,0.014119504,0.014773135,0.015043262,0.01168357,0.010259756,0.015158236,0.011253161,0.0108901,0.011800896,0.012162369,0.011870769,0.015863809,0.011291502,0.009952109
CE(20:2),0.061057843,0.078476981,0.076494156,0.080661819,0.073267498,0.060703762,0.061177688,0.056738942,0.063005209,0.063867363,0.070654762,0.067734602,0.066194342,0.058405525,0.059012754,0.062633541,0.061992327,0.065774392,0.065320471,0.075906011,0.0720318,0.065624922,0.058453632
CE(20:3),2.69542887,2.952948475,2.629631168,2.543669225,2.569537828,2.579908788,2.632189219,2.354685427,2.61387921,3.010361205,2.464775862,2.462080484,2.423738979,2.452632568,2.868418183,2.627675753,3.023068359,2.345084011,2.244944003,2.510994558,3.157907699,2.609853072,2.02402317
CE(20:4),10.67053623,10.40477429,11.30743291,12.32166248,10.32111708,10.16946688,9.834146929,8.746480246,10.16319334,8.980082111,11.08356612,10.51906774,9.463968385,10.65411849,9.013447452,10.24609511,11.58939865,11.70092748,10.64002023,10.62558456,11.01625306,9.929720771,9.757999004
CE(20:5),1.422891077,1.669836724,1.327724293,1.537698829,1.370690898,1.339383496,1.551527124,1.492574555,1.483680835,1.807408358,1.586382879,1.607053933,1.34785377,1.463067549,1.554247485,1.650930515,1.256720211,1.357536689,1.334014083,1.08636307,1.166827209,1.568724143,1.236845768
CE(22:0),1.85E-06,1.78E-06,2.72E-06,3.27E-06,1.65E-06,2.73E-06,2.47E-06,2.43E-06,2.35E-06,1.92E-06,3.48E-06,2.58E-06,1.69E-06,1.39E-06,2.09E-06,2.33E-06,2.21E-06,2.08E-06,2.36E-06,2.66E-06,3.13E-06,3.49E-07,2.64E-06
CE(22:2),9.31E-04,0.001149264,0.001189485,0.001223182,9.28E-04,0.001029136,0.00107777,9.27E-04,8.30E-04,0.001065097,0.001419738,8.89E-04,0.001091004,9.85E-04,0.001178625,0.001106706,0.001103163,0.001371495,0.001066462,0.00104251,0.001122231,0.001262392,7.83E-04
CE(22:4),0.025419395,0.036007971,0.031481268,0.035522358,0.03508797,0.030881263,0.031316109,0.031379099,0.032482628,0.032673831,0.042859685,0.034389404,0.034673834,0.02917723,0.032770064,0.032059992,0.03675873,0.034267774,0.038172645,0.031880992,0.031345041,0.03212367,0.029001664
CE(22:5),0.109074828,0.131430703,0.131849531,0.13473561,0.123342132,0.112825237,0.130194792,0.109163083,0.126736361,0.124911715,0.158239194,0.12009526,0.140461397,0.122368011,0.12693549,0.119749759,0.139471319,0.137622628,0.134897551,0.113301403,0.119726315,0.123247192,0.111089446
CE(22:6),0.711995167,0.843521773,0.72458134,0.882565093,0.794747442,0.781237128,0.782708021,0.749757136,0.758243152,0.824246204,1.040963195,0.810014172,0.911076089,0.792909746,0.827910389,0.861460785,0.875273312,0.905339806,0.873488872,0.711849319,0.821653572,0.868771204,0.781561272
CE(24:1),3.23E-06,2.39E-06,3.31E-06,1.61E-06,3.47E-06,3.45E-06,3.55E-06,3.33E-06,2.77E-06,4.00E-06,4.38E-06,2.75E-06,4.49E-06,3.51E-06,2.01E-06,3.81E-06,3.16E-06,3.75E-06,3.38E-06,3.00E-06,3.60E-06,2.81E-06,2.38E-06
CER(14:0),0.006230801,0.006917021,0.005947829,0.007091391,0.006509686,0.006591866,0.006820883,0.006208265,0.005721924,0.006727037,0.006797243,0.006708638,0.006466826,0.005818828,0.005715771,0.005984185,0.006862731,0.006755761,0.006397647,0.006495507,0.006932408,0.006454982,0.00603584
CER(16:0),0.157652205,0.181690522,0.171146677,0.184593488,0.176736775,0.189577869,0.164503131,0.154542652,0.158460732,0.181910377,0.188184581,0.169842426,0.169400742,0.178795669,0.171544773,0.170624688,0.1740126,0.177511546,0.172826185,0.185336933,0.178002414,0.163015134,0.167674703
CER(18:0),0.068635525,0.074381662,0.07164653,0.068692216,0.070206865,0.070526887,0.061406645,0.069395242,0.070595214,0.071536515,0.078311656,0.067249201,0.077961583,0.066795983,0.074383195,0.074444069,0.069896195,0.075089345,0.074385276,0.074743702,0.06845108,0.071189532,0.069919552
CER(20:0),0.152611156,0.163266044,0.17724859,0.175907915,0.128265341,0.184289369,0.160391546,0.15896069,0.158636053,0.156387128,0.193691205,0.17106355,0.176543214,0.154470715,0.162451917,0.176462863,0.157834389,0.175986826,0.154192439,0.16477328,0.154798549,0.160064505,0.177096903
CER(20:1),0.003020248,0.004825249,0.004235844,0.004686155,0.005027521,0.004998098,0.003292768,0.003966024,0.003456734,0.003982266,0.003966542,0.004599466,0.00365844,0.003192848,0.003649299,0.004427836,0.004208457,0.00419407,0.003406016,0.004226026,0.002930858,0.003005963,0.001537836
CER(22:0),1.862074704,2.26229759,2.185364792,2.166838845,2.132968239,2.105876021,1.96488287,2.001839423,1.859811822,2.063278802,2.19007479,2.047520825,2.08537958,2.023722209,1.938218507,2.06268039,2.09035845,2.162613735,1.976640013,2.211309224,2.048814006,2.120297541,1.980776228
CER(22:1),0.024317693,0.034409261,0.034676832,0.035820111,0.036731524,0.034138412,0.029915875,0.027077251,0.029877749,0.033319662,0.030106936,0.033529829,0.032404978,0.031805222,0.029895418,0.034437742,0.031129581,0.032607642,0.03178198,0.029109177,0.031450577,0.031802026,0.02931967
CER(24:0),8.18033753,9.114262307,9.22035599,9.059564607,8.829146817,8.992377045,8.297730873,8.196654939,8.077029159,8.586437641,9.352722529,8.900420349,8.899335307,8.499449394,8.2859917,8.37899564,8.80902224,9.047748396,8.721687072,9.099253615,8.820036648,8.87123345,8.463974849
CER(24:1),2.452822902,2.826151342,2.763734703,2.701540698,2.707855238,2.702749191,2.517976282,2.438801534,2.46397356,2.581238535,2.754176013,2.613597185,2.643086627,2.409134532,2.452114941,2.547794057,2.731993391,2.767509525,2.674895785,2.707342452,2.71668438,2.683320204,2.581811242
CER(26:0),0.117934776,0.130072367,0.129020763,0.130759691,0.119368755,0.134713784,0.118848979,0.108206446,0.106497563,0.121000791,0.123703976,0.130386931,0.116901996,0.112087872,0.10781321,0.110327082,0.128525068,0.128188005,0.123576854,0.130405214,0.115278955,0.125355754,0.116807937
CER(26:1),0.046373807,0.051465315,0.047446344,0.050771818,0.049429151,0.050370714,0.046406124,0.042854148,0.042513568,0.044417001,0.048303006,0.050205094,0.046516939,0.042806133,0.04049045,0.04335977,0.051710707,0.052236798,0.049862889,0.049498349,0.050918028,0.047627174,0.045313148
DAG(14:0_14:0),0.083692931,0.130289228,0.093731492,0.130669593,0.115048044,0.126538869,0.102516844,0.088664714,0.087610189,0.099417524,0.108070338,0.096235817,0.094886749,0.089920224,0.10687664,0.097084253,0.10050721,0.110246662,0.096632383,0.101108756,0.101044191,0.09366979,0.107665103
DAG(14:0_16:1),0.128049792,0.203748236,0.172132579,0.226383087,0.225415802,0.296195466,0.237066782,0.118594066,0.146761626,0.1672947,0.159278273,0.1695443,0.152782017,0.159748471,0.179616546,0.166758158,0.183147152,0.180671449,0.162788449,0.141487837,0.152567267,0.165823438,0.169015014
DAG(14:0_18:1),0.684344306,0.785958865,0.821471602,0.773100376,0.782633621,0.858173058,0.823535294,0.709450281,0.751484917,0.769648405,0.750192704,0.845230786,0.698902924,0.69077795,0.821482349,0.686867592,0.7795574,0.807231446,0.797618481,0.790625746,0.785847423,0.822871529,0.694905585
DAG(14:0_18:2),0.973448696,1.105734611,1.161405407,1.084083833,1.08743962,1.039944868,1.18136436,0.934849854,1.002171367,1.123893132,1.087495575,1.054938632,0.940908605,0.965900116,0.975261051,1.055195142,1.070141447,1.074085738,1.113340739,1.162470628,1.030174548,0.976156039,0.893046677
DAG(14:0_18:3),0.518915422,0.546476433,0.534358407,0.588302748,0.593573959,0.595555051,0.561617884,0.483774375,0.489495766,0.62807542,0.62575124,0.493970497,0.565421934,0.55671724,0.606602736,0.62828455,0.51222522,0.50234982,0.523919443,0.4935712,0.482244088,0.495329609,0.456608754
DAG(14:0_20:0),0.02585149,0.032814216,0.028572782,0.041209779,0.025127952,0.037116456,0.025876942,0.014482581,0.028919984,0.033402488,0.0341101,0.034999618,0.028595238,0.02511991,0.036425034,0.022055769,0.030559206,0.035481709,0.02140153,0.031998905,0.03560747,0.030048254,0.030966168
DAG(14:0_20:4),0.253352052,0.297553395,0.282535466,0.280204237,0.278248115,0.279775644,0.259758468,0.216894679,0.228260201,0.31746898,0.258570789,0.278028165,0.254784854,0.271216757,0.261868799,0.286689619,0.234375598,0.227380002,0.214129635,0.213872261,0.2668521,0.247379763,0.244165063
