lipid_intensity_list,value
LPI(22:6),176
LPG(20:5),240
PS(14:0_22:4),279
PS(18:2_22:6),289
LPS(14:0),307
LPS(22:6),338
PS(18:2_18:3),377
PG(14:0_20:5),389
PG(14:0_22:6),404
PG(14:1_14:1),405
LPS(20:4),410
PS(14:0_14:0),421
LPS(20:5),450
LPS(16:1),455
PS(18:2_20:5),459
LPG(22:4),465
LPS(22:4),465
PS(18:1_20:5),480
PG(14:0_22:5),482
LPS(20:1),484
LPS(20:2),486
PS(14:0_20:2),509
PS(16:0_14:0),528
PE(14:0_20:1),538
PS(18:0_14:0),548
PS(14:0_20:5),557
PE(14:0_20:2),565
LPS(20:3),567
PS(14:1_14:1),598
PS(16:0_20:2),600
LPI(14:0),622
LPS(20:0),679
PG(14:0_20:4),723
PS(18:0_16:1),724
PS(18:2_22:4),778
PE(14:1_14:1),781
PS(14:0_22:5),786
LPG(18:3),790
PG(14:0_20:1),815
PS(18:1_18:3),819
PG(14:0_22:4),822
PS(16:0_22:5),828
PS(14:0_18:1),852
PS(18:1_22:5),860
PS(14:0_20:1),870
PS(18:1_20:1),885
PE(14:0_14:0),891
PS(18:1_22:4),908
LPG(22:5),910
PS(14:0_22:6),916
PS(16:0_22:4),919
PS(18:2_20:1),923
PG(18:2_22:4),939
PS(18:2_20:2),941
PS(18:2_22:5),986
PS(18:2_20:3),1005
PG(14:0_18:3),1006
LPS(18:3),1046
PS(16:0_16:0),1048
PS(14:0_20:3),1058
PG(18:0_20:5),1111
PS(16:0_16:1),1141
LPG(20:4),1156
PS(18:0_22:4),1181
LPG(22:6),1201
LPG(20:0),1222
LPS(18:1),1227
PS(16:0_20:3),1228
PS(16:0_18:3),1230
PE(P-14:0_18:0),1231
PG(18:0_22:4),1241
PS(16:0_22:6),1246
PS(14:0_18:3),1300
PE(14:0_22:4),1317
PG(16:0_22:6),1376
PG(18:2_20:2),1382
PS(18:2_20:4),1393
PC(20:0_20:5),1402
LPG(20:3),1431
PS(14:0_20:4),1477
LPG(20:1),1487
LPG(14:0),1498
LPS(18:2),1519
LPS(18:0),1541
PS(16:0_20:5),1596
PE(18:0_14:0),1611
PS(18:1_20:3),1646
PS(18:1_22:6),1728
PS(18:1_16:1),1867
PE(14:0_22:5),1870
PS(18:1_20:2),1933
PE(14:0_20:5),1956
PI(20:0_22:5),2018
PG(18:0_22:6),2020
PG(18:1_22:5),2063
PS(18:2_16:1),2089
PC(20:0_18:3),2097
PE(18:2_22:4),2128
PG(18:0_20:1),2289
PI(18:1_18:3),2309
PE(14:0_18:3),2331
PS(18:1_18:2),2410
PS(18:0_22:5),2422
PS(18:2_18:2),2490
LPS(16:0),2509
PS(16:0_20:4),2519
PG(18:2_20:5),2617
LPI(20:0),2664
PG(14:0_20:3),2782
PG(18:2_22:6),2826
PS(16:0_18:1),2884
PG(18:2_22:5),3100
PE(O-16:0_18:3),3103
PS(18:0_20:2),3112
PI(20:0_20:5),3248
PG(14:0_20:2),3396
PE(14:0_22:6),3429
MAG(22:0),3482
PI(20:0_18:3),3540
PG(18:0_22:5),3573
PS(14:0_18:2),3598
LPI(20:1),3801
LPG(16:1),3868
PS(16:0_18:0),3915
PS(18:0_18:3),3921
PE(14:0_20:3),3923
PG(18:0_18:3),4050
MAG(20:0),4094
PG(18:0_14:0),4100
LPI(22:4),4127
PG(16:0_16:0),4211
PE(P-14:0_18:1),4245
PI(20:0_20:2),4514
PG(18:1_20:1),4541
PI(20:0_22:6),4586
PC(20:0_20:1),4594
PS(18:1_20:4),4851
PG(18:1_22:6),4941
PE(P-18:0_18:3),4987
PE(O-18:0_20:3),5100
PS(20:0_20:1),5247
PE(O-16:0_16:1),5261
PC(14:0_20:1),5278
PE(O-18:0_18:3),5409
PI(18:2_18:3),5414
PE(14:0_16:1),5458
PE(O-18:0_20:2),5754
PG(16:0_14:0),5823
LPI(20:5),5915
PG(16:0_20:3),5956
PS(16:0_18:2),5985
PE(P-16:1_18:1),6014
PG(18:1_22:4),6028
LCER(d18:0_26:0),6105
PG(18:1_20:5),6123
PE(O-18:0_20:5),6131
PG(18:2_20:4),6135
PE(18:2_22:5),6231
PE(O-18:0_16:1),6284
LCER(d18:0_18:0),6291
MAG(14:1),6310
PG(18:0_20:3),6655
PG(14:0_14:0),7030
PG(18:2_20:1),7061
PE(18:0_16:1),7118
PI(20:0_20:1),7133
PG(18:1_18:3),7147
PC(20:0_16:1),7224
PG(18:2_18:3),7229
PG(20:0_20:2),7401
PE(18:2_20:5),7607
LPG(20:2),7748
MAG(22:2),7749
PC(18:2_22:4),8038
PE(O-16:0_16:0),8412
PE(O-16:0_20:2),8762
PE(18:2_20:1),8773
PE(O-16:0_20:3),9036
PE(O-18:0_20:1),9245
PE(O-16:0_20:5),9464
LPI(22:5),10426
PG(18:0_20:2),10551
PE(18:2_20:2),10558
PG(18:0_20:4),10895
PE(O-18:0_16:0),11002
