`%>%`(...),value
LPI(22:6),89
PS(18:2_18:3),306
PS(14:0_22:4),330
PS(18:2_22:6),330
PS(14:0_20:2),333
PS(16:0_14:0),365
PE(14:0_20:2),374
PG(14:0_22:4),410
PS(18:1_20:5),450
PS(16:0_20:2),460
PS(14:0_20:5),518
LPG(20:5),543
LPS(20:5),555
PS(18:0_16:1),555
PS(14:0_14:0),567
PS(18:2_22:4),585
PS(18:2_22:5),586
PS(18:0_14:0),591
LPS(20:2),592
PS(18:1_18:3),592
PS(14:0_20:3),612
PE(14:0_20:1),614
PS(18:0_22:4),634
PG(14:0_20:1),640
LPG(22:5),655
PS(18:1_20:1),658
PG(14:0_22:5),664
LPS(20:4),667
PE(14:0_20:5),667
PS(14:0_22:5),667
LPG(22:4),681
PS(14:0_18:1),684
PS(18:2_20:2),684
PG(18:0_20:5),692
PS(14:0_20:1),693
MAG(22:0),694
LPI(20:5),702
PS(18:2_20:3),731
PE(14:0_14:0),735
PS(14:0_22:6),742
PE(14:0_22:4),766
PG(18:2_22:4),773
LPS(22:4),786
LPS(14:0),793
PS(18:1_22:5),798
PE(18:2_22:4),820
LPS(22:6),825
PS(14:0_18:3),827
PE(14:0_22:5),835
PG(14:0_20:5),855
LPS(16:1),872
LPS(20:1),877
PS(18:2_20:1),877
PG(14:1_14:1),883
PS(16:0_16:0),890
PI(20:0_22:5),894
MAG(20:0),900
LPG(22:6),901
PC(20:0_20:5),903
PS(18:2_20:5),904
PS(16:0_22:5),932
PG(18:2_22:5),941
PG(16:0_22:6),962
PS(16:0_22:6),973
PS(16:0_20:3),976
PE(P-14:0_18:0),984
PS(16:0_22:4),987
PS(16:0_18:3),989
PS(18:1_22:4),990
PS(14:1_14:1),991
LPG(20:0),1000
PG(14:0_22:6),1000
PS(14:0_20:4),1000
PS(18:1_18:2),1000
PS(18:2_16:1),1000
PS(18:2_20:4),1000
LPG(18:3),1010
LPG(20:4),1018
LPS(18:2),1019
PS(18:1_16:1),1071
